27958270
30.0,20,0,0,0,0,0,0,0,663,0.6666666666666666,0.06666666666666667,0.53333333333333333,0.014575800000000028,5.1200000000006794e-05,0.0
2.0,-,87574,0,87980,rejected,no
2.0,-,80814,0,0,-,no
2.0,-,28007,0,0,-,no
2.0,-,34084,0,0,-,no
2.0,-,55000,0,0,-,no
2.0,-,61145,0,0,-,no
2.0,-,46735,0,0,-,no
2.0,-,3866,0,0,-,no
2.0,-,32464,0,0,-,no
2.0,-,14092,0,0,-,no
2.0,-,34624,0,0,-,no
2.0,-,63079,0,0,-,no
2.0,-,48957,0,0,-,no
2.0,-,35580,0,0,-,no
2.0,-,32970,0,0,-,no
2.0,-,14256,0,0,-,no
2.0,-,14442,0,0,-,no
2.0,-,10252,0,0,-,no
2.0,-,34709,0,0,-,no
2.0,-,1860,1,2115,rejected,no
